セグメント,会社名（正式）,会社名（略称）,理由,商談件数,受注件数,最大受注額,最終接点日,取引ステータス,業種
B,塩浜工業,塩浜工業,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-08-18,見込み,
B,株式会社フジタ,株式会社フジタ,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-08-05,見込み,
B,川北電気工業株式会社,川北電気工業株式会社,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-08-05,見込み,
B,滝藤建設株式会社,滝藤建設株式会社,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-08-05,見込み,
B,淺沼組,淺沼組,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-08-05,見込み,
B,株式会社リョーケン,株式会社リョーケン,"商談あり（ステージ: ヒアリング, 未受注）",2,0,,2026-01-30,見込み,
B,株式会社中村組,株式会社中村組,"商談あり（ステージ: リード獲得, 未受注）",2,0,,2026-02-06,見込み,
B,丸谷建設株式会社,丸谷建設株式会社,"商談あり（ステージ: ヒアリング, 未受注）",2,0,,2026-01-23,見込み,
B,長谷川コーポレーション,長谷川コーポレーション,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-08-01,見込み,
B,ベストインダストリー株式会社,ベストインダストリー株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-08-01,見込み,
B,高田建設株式会社,高田建設株式会社,"商談あり（ステージ: 不在, 未受注）",1,0,,2026-01-09,見込み,
B,株式会社イビソク,株式会社イビソク,"商談あり（ステージ: 不在, 未受注）",1,0,,2026-01-09,見込み,
B,加藤建設池田支店,加藤建設池田支店,"商談あり（ステージ: 不在, 未受注）",2,0,,2026-01-29,見込み,
B,株式会社久保田工務店,株式会社久保田工務店,"商談あり（ステージ: 不在, 未受注）",2,0,,2026-01-29,見込み,
B,黒柳建設株式会社,黒柳建設株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-01-15,見込み,
B,日本土建株式会社,日本土建株式会社,"商談あり（ステージ: 不在, 未受注）",1,0,,2026-01-16,見込み,
B,大同コンサルタンツ株式会社,大同コンサルタンツ株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-01-09,見込み,
B,松岡建設株式会社,松岡建設株式会社,"商談あり（ステージ: 不在, 未受注）",2,0,,2026-02-20,見込み,
B,水谷建設株式会社,水谷建設株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-01-23,見込み,
B,株式会社イソビク,株式会社イソビク,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-01-29,見込み,
B,加藤建設株式会社,加藤建設株式会社,"商談あり（ステージ: 不在, 未受注）",2,0,,2026-01-29,見込み,
B,岡田工業株式会社,岡田工業株式会社,"商談あり（ステージ: ヒアリング, 未受注）",2,0,,2026-02-06,見込み,
B,株式会社リョーケンホールディングス,株式会社リョーケンホールディングス,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-01-30,見込み,
B,株式会社中部測量設計,株式会社中部測量設計,"商談あり（ステージ: 不在, 未受注）",1,0,,2026-02-06,見込み,
B,永井組株式会社,永井組株式会社,"商談あり（ステージ: 不在, 未受注）",1,0,,2026-02-13,見込み,
B,株式会社きんそく,株式会社きんそく,"商談あり（ステージ: ヒアリング, 未受注）",2,0,,2026-03-12,見込み,
B,山一建設株式会社,山一建設株式会社,"商談あり（ステージ: 不在, 未受注）",1,0,,2026-02-20,見込み,
B,株式会社白鳳ホールディングス,株式会社白鳳ホールディングス,"商談あり（ステージ: 不在, 未受注）",1,0,,2026-02-20,見込み,
B,株式会社共栄建設,株式会社共栄建設,"商談あり（ステージ: 不在, 未受注）",1,0,,2026-02-20,見込み,
B,KI開発株式会社,KI開発株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-02-20,見込み,
B,マルト建設株式会社,マルト建設株式会社,"商談あり（ステージ: 不在, 未受注）",1,0,,2026-02-20,見込み,
B,早川都市開発株式会社,早川都市開発株式会社,"商談あり（ステージ: 不在, 未受注）",1,0,,2026-02-20,見込み,
B,近藤産興株式会社,近藤産興株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-02-20,見込み,
B,西尾レントール,西尾レントール,"商談あり（ステージ: 不在, 未受注）",1,0,,2026-02-24,見込み,
B,中日本コンサルタント,中日本コンサルタント,"商談あり（ステージ: 不在, 未受注）",1,0,,2026-02-24,見込み,
B,中一建設工業株式会社,中一建設工業株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-02-24,見込み,
B,近藤組,近藤組,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-02-24,見込み,
B,吉原建設,吉原建設,"商談あり（ステージ: 不在, 未受注）",1,0,,2026-02-26,見込み,
B,前田製作所,前田製作所,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-03-12,見込み,
C,山陽建設,山陽建設,問い合わせのみ（商談未進行）,0,0,,2026-03-12,見込み,
D,あおい建設コンサルタント 株式会社,あおい建設コンサルタント 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,アジアコンサルタント 株式会社,アジアコンサルタント 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,キュウメートル 株式会社,キュウメートル 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,ギホク 株式会社,ギホク 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,ジェイアール東海コンサルタンツ 株式会社,ジェイアール東海コンサルタンツ 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,ダイエイコンサルタント 株式会社,ダイエイコンサルタント 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,トータル測量設計 株式会社,トータル測量設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,ニッセイ技術 株式会社,ニッセイ技術 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,パブリック設計 株式会社,パブリック設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,ビーム計画設計 株式会社,ビーム計画設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,フジコンサルタント 株式会社,フジコンサルタント 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,ミトモ開発 株式会社,ミトモ開発 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,リード測量設計 株式会社,リード測量設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,一般社団法人 三重県建設資材試験センター,一般社団法人 三重県建設資材試験センター,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,一般社団法人 地域問題研究所,一般社団法人 地域問題研究所,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,一般財団法人 岐阜県公衆衛生検査センター,一般財団法人 岐阜県公衆衛生検査センター,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,三城コンサルタント 株式会社,三城コンサルタント 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,三翠建設コンサルタント 株式会社,三翠建設コンサルタント 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,三鈴土木コンサルタント 株式会社,三鈴土木コンサルタント 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,不地弘測量設計 株式会社,不地弘測量設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,中勢森林組合,中勢森林組合,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,中央エンジニアリング 株式会社,中央エンジニアリング 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,中央建コン 株式会社,中央建コン 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,中日コンサルタント 株式会社,中日コンサルタント 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,中日本タスク 株式会社,中日本タスク 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,中日本建設コンサルタント 株式会社,中日本建設コンサルタント 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,中日本高速技術マーケティング 株式会社,中日本高速技術マーケティング 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,中本測量設計 株式会社,中本測量設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,中部土地調査 株式会社,中部土地調査 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,中部土木 株式会社,中部土木 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,中部地域整備 株式会社,中部地域整備 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,中部技巧 株式会社,中部技巧 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,中部水工設計 株式会社,中部水工設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,中部電力グランドワークス 株式会社,中部電力グランドワークス 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,中部電気工業 株式会社,中部電気工業 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,中野測量設計 株式会社,中野測量設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,丸ス産業 株式会社,丸ス産業 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,久松測量設計 株式会社,久松測量設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,井上測量設計 株式会社,井上測量設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,伸東測量設計 株式会社,伸東測量設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,住宅地盤 株式会社,住宅地盤 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,公益財団法人 豊田都市交通研究所,公益財団法人 豊田都市交通研究所,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,勢州建設 株式会社,勢州建設 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,匠技術 株式会社,匠技術 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,吉田測量設計 株式会社,吉田測量設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,坂上建設 株式会社,坂上建設 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,大井調査設計 株式会社,大井調査設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,大共測量 株式会社,大共測量 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,大山土木 株式会社,大山土木 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,大建測量設計 株式会社,大建測量設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,大有建設 株式会社,大有建設 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,大紘ジオテクノ 株式会社,大紘ジオテクノ 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,大鐘測量設計 株式会社,大鐘測量設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,大高理工 株式会社,大高理工 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,宇野重工 株式会社,宇野重工 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,富士エンジニアリング 株式会社,富士エンジニアリング 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,富士設計 株式会社,富士設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,岐阜県森林組合連合会,岐阜県森林組合連合会,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,愛知玉野情報システム 株式会社,愛知玉野情報システム 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,愛知県経済農業協同組合連合会,愛知県経済農業協同組合連合会,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,戸田測量設計 株式会社,戸田測量設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,敷島測量設計 株式会社,敷島測量設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,新三重技術開発 株式会社,新三重技術開発 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,新晃コンサルタント 株式会社,新晃コンサルタント 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,新栄測量設計 株式会社,新栄測量設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,日技エンジニアリング 株式会社,日技エンジニアリング 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,日本エルダルト 株式会社,日本エルダルト 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,日本海洋調査 株式会社,日本海洋調査 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,日本車輌製造 株式会社,日本車輌製造 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,旭測量設計 株式会社,旭測量設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,昭和設計 株式会社,昭和設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,有限会社 アペオ技研,有限会社 アペオ技研,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,有限会社 二葉測量設計事務所,有限会社 二葉測量設計事務所,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,有限会社 信濃エンジニア,有限会社 信濃エンジニア,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,有限会社 協和測量設計,有限会社 協和測量設計,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,有限会社 大場測量設計事務所,有限会社 大場測量設計事務所,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,有限会社 大矢コンサルタント,有限会社 大矢コンサルタント,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,有限会社 東濃技研,有限会社 東濃技研,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,有限会社 沖下測量,有限会社 沖下測量,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,有限会社 渡辺測量事務所,有限会社 渡辺測量事務所,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,服部エンジニア 株式会社,服部エンジニア 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,杉山コンサルタンツ 株式会社,杉山コンサルタンツ 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,東亜測量設計 株式会社,東亜測量設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,東和コンサルタント 株式会社,東和コンサルタント 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,東和設計 株式会社,東和設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,東洋測量設計 株式会社,東洋測量設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,東海共立鋼業 株式会社,東海共立鋼業 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,東海技術開発 株式会社,東海技術開発 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,東静測量設計 株式会社,東静測量設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,松下測量設計 株式会社,松下測量設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,松野測量設計 株式会社,松野測量設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,松阪鑿泉 株式会社,松阪鑿泉 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,柴山コンサルタント 株式会社,柴山コンサルタント 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,栄土地測量設計 株式会社,栄土地測量設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 あさひ,株式会社 あさひ,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 あづま,株式会社 あづま,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 つかもと,株式会社 つかもと,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 アオイテック,株式会社 アオイテック,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 アクア設計,株式会社 アクア設計,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 アクシス,株式会社 アクシス,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 アクセス,株式会社 アクセス,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 アセント,株式会社 アセント,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 アルダー環境設計室,株式会社 アルダー環境設計室,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 アースシフト,株式会社 アースシフト,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 アーバンエンジニアリング,株式会社 アーバンエンジニアリング,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 ウインディーネットワーク,株式会社 ウインディーネットワーク,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 エステム,株式会社 エステム,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 エム・アイ,株式会社 エム・アイ,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 エーシーイー名古屋,株式会社 エーシーイー名古屋,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 オリンピアコンサルタント,株式会社 オリンピアコンサルタント,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 カギテック,株式会社 カギテック,1年以上接点なし（商談なし）,0,0,,,商談中,"測量会社, 建設コンサル"
D,株式会社 カナエジオマチックス,株式会社 カナエジオマチックス,1年以上接点なし（商談なし）,0,0,,,接触済,建設コンサル
D,株式会社 カワセ測量設計,株式会社 カワセ測量設計,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 キクトコーポレーション,株式会社 キクトコーポレーション,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 グランドライン,株式会社 グランドライン,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 グリーン,株式会社 グリーン,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 ケイプロローグ,株式会社 ケイプロローグ,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 ケイ・ビー・エム,株式会社 ケイ・ビー・エム,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 コンチネンタル技建,株式会社 コンチネンタル技建,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 サンウェイ,株式会社 サンウェイ,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 シーテック,株式会社 シーテック,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 シー・ディ・エス,株式会社 シー・ディ・エス,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 ジオプラン,株式会社 ジオプラン,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 ジットー,株式会社 ジットー,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 ジーベック,株式会社 ジーベック,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 スリード,株式会社 スリード,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 スルガコンサル,株式会社 スルガコンサル,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 セイワ都市開発,株式会社 セイワ都市開発,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 セントラル開発,株式会社 セントラル開発,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 ソクト,株式会社 ソクト,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 タイセイ,株式会社 タイセイ,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 ダイセキ環境ソリューション,株式会社 ダイセキ環境ソリューション,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 ツルタコンサルタント,株式会社 ツルタコンサルタント,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 テクノス電子企画,株式会社 テクノス電子企画,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 トップエンジニア,株式会社 トップエンジニア,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 トライ,株式会社 トライ,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 ノダックスコーポレーション,株式会社 ノダックスコーポレーション,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 ピット,株式会社 ピット,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 メイトーテック,株式会社 メイトーテック,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 メディア・クラフト,株式会社 メディア・クラフト,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 ワーク設計,株式会社 ワーク設計,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 三友測量,株式会社 三友測量,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 三友調査設計,株式会社 三友調査設計,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 三愛設計,株式会社 三愛設計,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 三水,株式会社 三水,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 三洋開発,株式会社 三洋開発,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 三浦測量,株式会社 三浦測量,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 三祐コンサルタンツ,株式会社 三祐コンサルタンツ,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 三進,株式会社 三進,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 三重中央コンサルタント,株式会社 三重中央コンサルタント,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 三重新成コンサルタント,株式会社 三重新成コンサルタント,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 中央工営,株式会社 中央工営,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 中部テック,株式会社 中部テック,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 中部ニューテック,株式会社 中部ニューテック,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 中部森林技術コンサルタンツ,株式会社 中部森林技術コンサルタンツ,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 中部構造コンサルタント,株式会社 中部構造コンサルタント,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 中部綜合コンサルタント,株式会社 中部綜合コンサルタント,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 中部ＥＥＮ,株式会社 中部ＥＥＮ,1年以上接点なし（商談なし）,0,0,,,接触済,建設コンサル
D,株式会社 光測量コンサルタント,株式会社 光測量コンサルタント,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 共和コンサルタント,株式会社 共和コンサルタント,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 共栄コンサルタント,株式会社 共栄コンサルタント,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 内田建設,株式会社 内田建設,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 創信,株式会社 創信,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 創建,株式会社 創建,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 加地工務店,株式会社 加地工務店,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 北斗エス・イー・シー,株式会社 北斗エス・イー・シー,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 北辰測量設計,株式会社 北辰測量設計,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 協和工務店,株式会社 協和工務店,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 南出測量設計,株式会社 南出測量設計,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 南山建設,株式会社 南山建設,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 名北総合技研,株式会社 名北総合技研,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 名古屋建設エンジニアリング,株式会社 名古屋建設エンジニアリング,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 土屋測量設計,株式会社 土屋測量設計,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 地域まちづくり研究所,株式会社 地域まちづくり研究所,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 地域コンサルタント,株式会社 地域コンサルタント,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 基土木設計事務所,株式会社 基土木設計事務所,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 堀場コンサルタント,株式会社 堀場コンサルタント,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 大和地質,株式会社 大和地質,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 大地コンサルタント,株式会社 大地コンサルタント,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 大場上下水道設計,株式会社 大場上下水道設計,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 大建コンサルタント,株式会社 大建コンサルタント,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 大測,株式会社 大測,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 大興計測技術,株式会社 大興計測技術,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 太紀企画,株式会社 太紀企画,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 太陽建設コンサルタント,株式会社 太陽建設コンサルタント,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 太陽機構,株式会社 太陽機構,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 奥平測量設計事務所,株式会社 奥平測量設計事務所,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
